State,Division,District,District Code,
Gujarat,Gujarat,Ahmedabad ,GJ01,
Gujarat,Gujarat,Amreli ,GJ14,
Gujarat,Gujarat,Anand ,GJ23,
Gujarat,Gujarat,Aravalli ,GJ33,
Gujarat,Gujarat,Banaskantha ,GJ08,
Gujarat,Gujarat,Bharuch ,GJ16,
Gujarat,Gujarat,Bhavnagar ,GJ04,
Gujarat,Gujarat,Botad ,GJ32,
Gujarat,Gujarat,Chhota Udaipur ,GJ37,
Gujarat,Gujarat,Dahod ,GJ20,
Gujarat,Gujarat,Dang ,GJ30,
Gujarat,Gujarat,Devbhoomi Dwarka ,GJ34,
Gujarat,Gujarat,Gandhinagar ,GJ18,
Gujarat,Gujarat,Gir Somnath ,GJ38,
Gujarat,Gujarat,Jamnagar ,GJ10,
Gujarat,Gujarat,Junagadh ,GJ11,
Gujarat,Gujarat,Kutch ,GJ12,
Gujarat,Gujarat,Kheda ,GJ07,
Gujarat,Gujarat,Mahisagar ,GJ35,
Gujarat,Gujarat,Mehsana ,GJ02,
Gujarat,Gujarat,Morbi ,GJ36,
Gujarat,Gujarat,Narmada ,GJ22,
Gujarat,Gujarat,Navsari ,GJ21,
Gujarat,Gujarat,Panchmahal ,GJ17,
Gujarat,Gujarat,Patan ,GJ24,
Gujarat,Gujarat,Porbandar ,GJ25,
Gujarat,Gujarat,Rajkot ,GJ03,
Gujarat,Gujarat,Sabarkantha ,GJ09,
Gujarat,Gujarat,Surat ,GJ05,
Gujarat,Gujarat,Surendranagar ,GJ13,
Gujarat,Gujarat,Tapi ,GJ26,
Gujarat,Gujarat,Vadodara ,GJ06,
Gujarat,Gujarat,Valsad ,GJ15,
